Date,Price,Volume,RSI,ROC,OBV
2021-02-01,262.010009765625,22914300,,,22914300.0
2021-02-02,267.0799865722656,17320800,,,40235100.0
2021-02-03,266.6499938964844,14223400,,,26011700.0
2021-02-04,266.489990234375,16060000,,,9951700.0
2021-02-05,268.1000061035156,12454400,,,22406100.0
2021-02-08,266.5799865722656,13755200,,,8650900.0
2021-02-09,269.45001220703125,14613400,,,23264300.0
2021-02-10,271.8699951171875,14687200,,,37951500.0
2021-02-11,270.3900146484375,12828600,,,25122900.0
2021-02-12,270.5,9097600,,,34220500.0
2021-02-16,273.9700012207031,15417200,,4.564707839130522,49637700.0
2021-02-17,273.57000732421875,12763200,,2.429991417644861,36874500.0
2021-02-18,269.3900146484375,15249100,,1.0275720287534762,21625400.0
2021-02-19,261.5599975585937,25622600,,-1.8499729282309696,-3997200.0
2021-02-22,260.3299865722656,17434900,47.43742639426143,-2.8981795428419055,-21432100.0
2021-02-23,265.8599853515625,21924600,55.51867553362888,-0.2700882500449642,492500.0
2021-02-24,264.3099975585937,15736100,53.05644914497362,-1.907594884237096,-15243600.0
2021-02-25,254.69000244140625,19053100,40.925083002494205,-6.31919409435967,-34296700.0
2021-02-26,257.6199951171875,26619500,45.04647083388098,-4.72281476364933,-7677200.0
2021-03-01,264.9100036621094,22157300,53.70124706632773,-2.0665420842479243,14480100.0
2021-03-02,259.0,15191700,47.209861866341676,-5.464102330183107,-711600.0
2021-03-03,255.41000366210935,15513500,43.75027133621813,-6.638155929347644,-16225100.0
2021-03-04,257.6400146484375,31626500,46.37887767126909,-4.36170583951826,15401400.0
2021-03-05,264.2799987792969,26820100,53.36675787252435,1.0399148364014899,42221500.0
2021-03-08,255.30999755859372,18391800,44.86140121842227,-1.9283176247844147,23829700.0
2021-03-09,265.739990234375,22039700,54.03474322308226,-0.04513470390394847,45869400.0
2021-03-10,264.8999938964844,14210300,53.2661418186778,0.22322134741039612,31659100.0
2021-03-11,273.8800048828125,21834000,59.84241476505242,7.534650852980018,53493100.0
2021-03-12,268.3999938964844,20600200,54.77677931917321,4.184457333908886,32892900.0
2021-03-15,273.75,16844800,58.47264847870378,3.336980942843515,49737700.0
2021-03-16,279.2799987792969,22437700,61.93547661168803,7.830115358801892,72175400.0
2021-03-17,284.010009765625,21315000,64.65066372821437,11.19768438723785,93490400.0
2021-03-18,278.6199951171875,18728300,59.44686154881842,8.143137430487357,74762100.0
2021-03-19,290.1099853515625,38930500,65.77167640894847,9.773719801564141,113692600.0
2021-03-22,293.5400085449219,28273100,67.40594638839784,14.973957679645643,141965700.0
2021-03-23,290.6300048828125,23000900,64.5883826726893,9.366303741670645,118964800.0
2021-03-24,282.1400146484375,18675000,57.0905140381607,6.508124254125147,100289800.0
2021-03-25,278.739990234375,24505600,54.36850038087838,1.7744944008022623,75784200.0
2021-03-26,283.0199890136719,17629200,57.138861253559405,5.44709219435604,93413400.0
2021-03-29,290.82000732421875,21718800,61.702194197336254,6.235619113869872,115132200.0
2021-03-30,288.0,17474500,59.24624934551521,3.1223149737959366,97657700.0
2021-03-31,294.5299987792969,19498200,62.92612798218806,3.704090930581394,117155900.0
2021-04-01,298.6600036621094,17616000,65.07413283457517,7.192595253794698,134771900.0
2021-04-05,308.9100036621094,28237000,69.75735786072264,6.4803072144395735,163008900.0
2021-04-06,306.260009765625,17335200,67.24677265180082,4.333310911775268,145673700.0
2021-04-07,313.0899963378906,22855200,70.22150158267925,7.728036017524897,168528900.0
2021-04-08,313.0199890136719,20894100,70.15117224262414,10.944911307143922,147634800.0
2021-04-09,312.4599914550781,15988600,69.55110789952072,12.097295831986688,131646200.0
2021-04-12,311.5400085449219,10881900,68.51424326135334,10.077033650747635,120764300.0
2021-04-13,309.760009765625,14036900,66.45010718347349,6.512620165190741,106727400.0
2021-04-14,302.82000732421875,17421400,58.9882402216655,5.145835876464844,89306000.0
2021-04-15,307.82000732421875,14558300,62.27505684249587,4.512276712050856,103864300.0
2021-04-16,306.17999267578125,13059200,60.56062653582439,2.517909636865756,90805100.0
2021-04-19,302.239990234375,14553500,56.53393497163234,-2.1592092676383956,76251600.0
2021-04-20,302.6499938964844,16796400,56.85541957871409,-1.1787421648367657,93048000.0
2021-04-21,301.4700012207031,14863500,55.58128672603827,-3.7113913740786098,78184500.0
2021-04-22,296.5199890136719,16375400,50.47152217041646,-5.271228860492783,61809100.0
2021-04-23,301.1300048828125,17536800,54.65275219955552,-3.6260599379471348,79345900.0
2021-04-26,303.0400085449219,16172600,56.29886013199324,-2.7283815134049982,95518500.0
2021-04-27,303.57000732421875,15309300,56.767824468505744,-1.9983220061523865,110827800.0
2021-04-28,307.1000061035156,33907200,59.8576516984381,1.413380449038315,144735000.0
2021-04-29,329.510009765625,56526800,73.03401273793502,7.046326400272207,201261800.0
2021-04-30,325.0799865722656,26332400,68.26385975341987,6.172837660394714,174929400.0
2021-05-03,322.5799865722656,18719500,65.65763957857811,6.729750196894124,156209900.0
2021-05-04,318.3599853515625,24032600,61.39654250473148,5.190811753477664,132177300.0
2021-05-05,315.0199890136719,15577600,58.1783244337571,4.494638849007382,116599700.0
2021-05-06,320.0199890136719,19012200,61.437068769158124,7.925266717488122,135611900.0
2021-05-07,319.0799865722656,15916700,60.482900151566,5.960874505494229,119695200.0
2021-05-10,305.9700012207031,24239200,49.042843126447785,0.966866616012152,95456000.0
2021-05-11,306.5299987792969,18920100,49.482391798982526,0.975060573726827,114376100.0
2021-05-12,302.54998779296875,24645500,46.41782301873372,-1.4816080169705925,89730600.0
